city,city_cost_index,num_days,budget_tier,group_size,season,avg_place_rating,num_places,pct_history,pct_culture,pct_nature,pct_food,pct_nightlife,pct_shopping,total_cost_inr
Goa,1.3,3,high,6,peak,3.82,6,0.074,0.183,0.113,0.024,0.197,0.409,136408.3
Agra,0.75,10,medium,3,off_peak,3.32,20,0.059,0.017,0.098,0.633,0.113,0.079,38347.89
Amsterdam,2.9,8,medium,6,shoulder,3.62,16,0.105,0.358,0.167,0.151,0.075,0.144,230811.1
Tokyo,3.0,3,low,2,shoulder,3.71,6,0.03,0.071,0.156,0.058,0.431,0.254,30115.33
Manali,0.9,8,low,2,peak,4.38,24,0.266,0.05,0.119,0.002,0.556,0.008,21803.8
Paris,3.2,1,medium,2,off_peak,3.29,3,0.146,0.079,0.039,0.547,0.156,0.032,13263.15
Rishikesh,0.75,5,low,2,shoulder,3.2,10,0.101,0.148,0.063,0.17,0.386,0.132,11539.19
Rishikesh,0.75,4,low,6,shoulder,3.61,8,0.46,0.064,0.007,0.336,0.11,0.023,20863.91
Kochi,0.95,2,high,1,peak,3.26,4,0.016,0.094,0.005,0.179,0.237,0.469,14073.42
Manali,0.9,9,medium,3,shoulder,4.74,18,0.085,0.25,0.259,0.094,0.061,0.251,66640.16
Chennai,1.05,8,medium,2,off_peak,3.77,16,0.054,0.003,0.075,0.004,0.061,0.803,64591.89
Kochi,0.95,8,low,1,off_peak,3.43,24,0.085,0.352,0.058,0.039,0.465,0.002,9470.51
Chennai,1.05,10,medium,3,shoulder,4.78,20,0.341,0.127,0.051,0.023,0.426,0.031,86309.03
Istanbul,1.8,9,low,1,peak,4.77,27,0.009,0.266,0.408,0.15,0.134,0.033,30178.42
Manali,0.9,8,high,1,off_peak,3.22,16,0.193,0.16,0.338,0.021,0.184,0.105,22192.4
Agra,0.75,2,high,2,peak,4.75,4,0.114,0.062,0.398,0.228,0.189,0.009,15364.49
Mumbai,1.4,8,medium,4,off_peak,3.39,24,0.448,0.113,0.148,0.075,0.143,0.072,66594.8
Varanasi,0.7,10,medium,5,shoulder,3.91,30,0.109,0.271,0.022,0.083,0.079,0.436,85856.65
Delhi,1.1,2,medium,3,peak,3.49,4,0.016,0.125,0.031,0.034,0.558,0.236,23120.99
Agra,0.75,3,low,3,off_peak,3.67,9,0.001,0.038,0.193,0.648,0.048,0.072,8508.01
Goa,1.3,3,medium,2,shoulder,4.97,9,0.401,0.228,0.032,0.05,0.182,0.106,13863.56
Bali,1.5,9,medium,3,peak,3.66,27,0.043,0.051,0.076,0.554,0.104,0.172,144762.05
Goa,1.3,8,medium,1,shoulder,3.42,16,0.587,0.042,0.041,0.213,0.024,0.092,22659.07
Goa,1.3,9,high,5,off_peak,3.65,18,0.152,0.043,0.169,0.305,0.244,0.087,247023.0
Shimla,0.95,6,medium,5,peak,3.43,12,0.555,0.047,0.168,0.089,0.118,0.023,62044.77
Udaipur,1.0,10,low,6,off_peak,3.92,30,0.085,0.004,0.334,0.259,0.108,0.21,56554.81
Chennai,1.05,1,low,1,shoulder,4.55,3,0.229,0.117,0.249,0.177,0.227,0.001,1198.86
Manali,0.9,3,low,3,peak,3.47,6,0.064,0.054,0.351,0.059,0.366,0.106,13124.64
New York,3.6,6,medium,4,off_peak,3.52,18,0.043,0.336,0.012,0.106,0.448,0.056,195893.76
Shimla,0.95,6,medium,2,shoulder,3.86,12,0.172,0.108,0.193,0.019,0.2,0.309,33307.43
Varanasi,0.7,7,low,5,off_peak,3.43,14,0.147,0.147,0.178,0.422,0.013,0.094,28774.11
Udaipur,1.0,8,high,5,shoulder,3.43,16,0.132,0.077,0.202,0.139,0.335,0.115,165352.64
Chennai,1.05,8,high,4,peak,4.33,24,0.223,0.232,0.244,0.204,0.018,0.079,147250.02
Amsterdam,2.9,7,medium,2,shoulder,3.78,21,0.129,0.012,0.137,0.246,0.061,0.415,126790.63
Kochi,0.95,9,high,1,shoulder,4.57,27,0.058,0.152,0.057,0.379,0.179,0.176,49472.66
Hyderabad,1.05,5,low,4,shoulder,3.5,15,0.003,0.082,0.381,0.276,0.084,0.174,22378.74
Goa,1.3,4,high,2,peak,3.96,8,0.118,0.101,0.459,0.017,0.089,0.216,50942.55
Agra,0.75,9,medium,3,shoulder,3.52,18,0.098,0.073,0.161,0.227,0.112,0.329,62419.67
Dubai,2.8,8,high,2,off_peak,3.96,16,0.041,0.06,0.133,0.111,0.344,0.311,255732.86
Amritsar,0.8,4,medium,5,off_peak,4.81,12,0.004,0.757,0.026,0.03,0.142,0.042,30335.12
Rishikesh,0.75,1,medium,6,peak,4.37,3,0.186,0.023,0.037,0.546,0.13,0.078,12530.57
Delhi,1.1,1,medium,4,peak,4.55,3,0.124,0.219,0.243,0.341,0.03,0.042,11591.44
Amsterdam,2.9,2,low,3,peak,4.68,4,0.196,0.176,0.103,0.226,0.117,0.182,41378.15
Amsterdam,2.9,9,low,4,shoulder,3.72,18,0.134,0.066,0.066,0.543,0.187,0.005,139220.0
Amsterdam,2.9,7,medium,4,off_peak,4.56,14,0.413,0.083,0.142,0.104,0.202,0.055,167943.2
London,3.4,7,low,3,peak,4.81,14,0.178,0.073,0.085,0.127,0.069,0.468,191801.02
Bengaluru,1.2,3,medium,3,shoulder,3.59,6,0.07,0.054,0.297,0.055,0.174,0.351,24927.21
Bengaluru,1.2,4,low,4,peak,4.3,8,0.041,0.634,0.208,0.014,0.013,0.09,19103.23
Amritsar,0.8,2,high,6,shoulder,4.15,6,0.197,0.135,0.298,0.142,0.121,0.107,27358.74
Bengaluru,1.2,5,medium,2,off_peak,3.92,15,0.463,0.046,0.197,0.12,0.071,0.104,18653.94
Paris,3.2,4,medium,3,shoulder,4.87,8,0.231,0.106,0.057,0.268,0.139,0.198,113057.36
Bengaluru,1.2,6,low,6,off_peak,3.37,12,0.062,0.209,0.061,0.061,0.338,0.269,52510.71
Pune,1.0,9,high,2,shoulder,3.29,27,0.611,0.2,0.055,0.0,0.01,0.124,58752.48
Mumbai,1.4,1,medium,1,off_peak,4.04,3,0.004,0.033,0.072,0.14,0.312,0.439,4374.43
New York,3.6,2,medium,1,off_peak,4.94,4,0.515,0.051,0.104,0.232,0.042,0.056,9962.82
Hyderabad,1.05,9,medium,2,shoulder,4.29,27,0.081,0.38,0.084,0.04,0.144,0.271,53950.75
Dubai,2.8,4,high,1,off_peak,4.03,8,0.335,0.063,0.237,0.134,0.221,0.009,41345.52
Amsterdam,2.9,6,low,3,peak,3.82,12,0.022,0.453,0.066,0.126,0.311,0.021,99141.81
Istanbul,1.8,9,medium,3,off_peak,3.26,18,0.354,0.015,0.128,0.049,0.432,0.022,97978.94
Singapore,2.9,9,low,2,shoulder,3.48,18,0.06,0.206,0.323,0.142,0.25,0.019,50380.36
Kochi,0.95,4,low,4,shoulder,3.37,8,0.251,0.025,0.209,0.243,0.055,0.218,20266.08
Hyderabad,1.05,6,high,2,shoulder,4.07,18,0.19,0.364,0.11,0.209,0.055,0.072,50862.16
Bangkok,1.6,5,high,6,peak,3.48,15,0.025,0.428,0.048,0.05,0.348,0.102,261041.28
Chennai,1.05,1,low,6,peak,4.22,2,0.176,0.054,0.168,0.109,0.345,0.149,9096.26
London,3.4,10,low,1,peak,3.99,20,0.06,0.057,0.472,0.171,0.075,0.164,57130.31
Udaipur,1.0,7,medium,5,shoulder,3.5,14,0.471,0.022,0.01,0.319,0.08,0.099,65012.73
Manali,0.9,10,medium,4,off_peak,3.32,20,0.34,0.031,0.321,0.006,0.237,0.065,52751.81
Manali,0.9,5,low,5,shoulder,4.61,15,0.114,0.112,0.226,0.156,0.151,0.243,36982.26
Amsterdam,2.9,10,medium,4,shoulder,4.11,20,0.268,0.37,0.029,0.286,0.011,0.037,226233.38
Goa,1.3,8,high,5,peak,4.92,16,0.063,0.068,0.026,0.18,0.109,0.554,441376.7
Tokyo,3.0,2,medium,5,peak,3.69,4,0.083,0.054,0.245,0.198,0.048,0.373,93730.14
Paris,3.2,8,high,2,shoulder,3.63,16,0.302,0.048,0.076,0.063,0.17,0.342,308546.7
Varanasi,0.7,3,low,1,off_peak,3.86,6,0.067,0.277,0.134,0.167,0.104,0.25,2420.33
Agra,0.75,7,high,5,shoulder,4.03,21,0.026,0.006,0.508,0.222,0.082,0.157,101590.05
London,3.4,9,low,5,shoulder,4.73,18,0.202,0.139,0.164,0.05,0.163,0.282,181159.21
Istanbul,1.8,6,low,2,peak,3.3,12,0.595,0.051,0.117,0.159,0.023,0.056,31568.65
Istanbul,1.8,3,high,5,shoulder,4.67,6,0.08,0.04,0.22,0.075,0.075,0.51,140659.14
Singapore,2.9,8,medium,4,shoulder,3.58,16,0.002,0.367,0.296,0.031,0.235,0.068,160894.79
Goa,1.3,4,medium,1,peak,3.55,8,0.099,0.117,0.207,0.147,0.162,0.267,17815.74
New York,3.6,5,high,1,shoulder,4.56,10,0.094,0.466,0.102,0.126,0.175,0.037,77810.14
Varanasi,0.7,10,high,4,peak,3.66,20,0.004,0.19,0.031,0.041,0.71,0.024,159246.0
Mumbai,1.4,2,medium,3,peak,4.85,6,0.141,0.121,0.016,0.021,0.378,0.322,32525.36
Chennai,1.05,8,low,1,shoulder,4.51,24,0.164,0.161,0.066,0.21,0.026,0.373,14393.79
Amritsar,0.8,2,low,2,off_peak,4.25,6,0.151,0.446,0.132,0.007,0.12,0.143,3713.07
Bali,1.5,2,medium,3,shoulder,4.85,6,0.25,0.18,0.052,0.117,0.357,0.044,24689.34
London,3.4,9,low,4,off_peak,4.96,27,0.134,0.11,0.417,0.069,0.021,0.249,130817.73
Amsterdam,2.9,1,low,6,off_peak,4.09,3,0.021,0.057,0.187,0.005,0.248,0.482,23555.47
Hyderabad,1.05,8,low,4,shoulder,4.79,24,0.096,0.039,0.741,0.056,0.067,0.001,25039.42
Shimla,0.95,8,medium,3,off_peak,4.06,24,0.212,0.162,0.011,0.087,0.412,0.117,58470.94
Goa,1.3,2,high,2,shoulder,3.8,6,0.098,0.159,0.05,0.085,0.015,0.594,33689.81
Jaipur,0.8,2,high,5,shoulder,4.34,6,0.08,0.156,0.085,0.44,0.196,0.042,28744.22
Delhi,1.1,2,medium,5,peak,3.64,4,0.184,0.064,0.168,0.421,0.067,0.096,26911.59
Singapore,2.9,3,medium,4,peak,4.22,9,0.088,0.144,0.17,0.182,0.328,0.089,94289.64
London,3.4,7,medium,4,off_peak,3.94,14,0.05,0.048,0.131,0.324,0.078,0.37,219874.5
Delhi,1.1,8,medium,4,shoulder,4.87,16,0.215,0.276,0.261,0.089,0.007,0.152,50927.58
Pune,1.0,10,medium,4,shoulder,4.01,20,0.031,0.116,0.015,0.0,0.129,0.709,105214.02
Dubai,2.8,1,medium,6,shoulder,3.5,2,0.169,0.09,0.168,0.156,0.358,0.06,35720.42
Amsterdam,2.9,6,medium,3,shoulder,3.6,18,0.1,0.166,0.037,0.268,0.222,0.206,102839.5
Amritsar,0.8,10,low,3,shoulder,3.75,30,0.022,0.372,0.308,0.053,0.059,0.186,30919.19
Udaipur,1.0,6,medium,3,shoulder,3.8,12,0.119,0.092,0.022,0.561,0.107,0.099,46601.29
Istanbul,1.8,6,low,6,peak,4.38,12,0.063,0.057,0.029,0.384,0.009,0.46,149431.91
Pune,1.0,7,medium,5,peak,4.64,14,0.245,0.005,0.087,0.119,0.483,0.062,129736.35
Bali,1.5,7,medium,2,shoulder,4.09,21,0.168,0.28,0.118,0.346,0.044,0.044,44147.16
Hyderabad,1.05,1,medium,4,shoulder,4.6,3,0.436,0.137,0.021,0.129,0.18,0.097,9363.26
Rome,2.7,3,medium,1,peak,4.68,6,0.235,0.01,0.035,0.001,0.191,0.529,37041.79
Rome,2.7,8,high,2,shoulder,4.19,24,0.02,0.118,0.028,0.701,0.095,0.038,210828.77
New York,3.6,8,low,5,shoulder,4.05,24,0.318,0.236,0.178,0.149,0.02,0.099,121679.31
Bangkok,1.6,5,high,4,peak,4.75,15,0.204,0.26,0.019,0.304,0.2,0.012,151958.82
New York,3.6,10,low,3,shoulder,3.81,20,0.065,0.124,0.305,0.01,0.114,0.382,166438.76
Kochi,0.95,9,medium,5,shoulder,3.41,27,0.624,0.107,0.043,0.037,0.184,0.005,70536.47
Shimla,0.95,2,medium,5,off_peak,3.7,4,0.076,0.325,0.145,0.371,0.075,0.007,18522.4
Bengaluru,1.2,5,medium,5,off_peak,4.15,15,0.214,0.027,0.256,0.2,0.282,0.021,56979.88
Tokyo,3.0,10,low,6,shoulder,3.71,30,0.045,0.399,0.175,0.146,0.083,0.152,207371.38
Bali,1.5,4,high,2,off_peak,4.72,8,0.072,0.244,0.424,0.177,0.06,0.024,44609.81
Istanbul,1.8,3,medium,1,off_peak,4.87,6,0.146,0.225,0.142,0.072,0.215,0.199,14366.85
Amritsar,0.8,9,medium,2,shoulder,3.54,27,0.274,0.042,0.198,0.171,0.135,0.18,29003.2
Hyderabad,1.05,3,medium,3,shoulder,4.04,6,0.053,0.363,0.308,0.039,0.025,0.212,22195.2
Amsterdam,2.9,3,medium,3,shoulder,4.89,6,0.384,0.053,0.196,0.273,0.019,0.075,54839.12
Singapore,2.9,2,medium,3,shoulder,3.68,4,0.047,0.138,0.203,0.209,0.017,0.387,38040.38
Barcelona,2.5,4,medium,6,off_peak,3.36,8,0.002,0.068,0.216,0.476,0.179,0.06,111984.97
Delhi,1.1,8,high,3,off_peak,4.58,24,0.265,0.17,0.393,0.042,0.026,0.104,83500.18
New York,3.6,8,medium,5,shoulder,3.38,24,0.233,0.212,0.023,0.084,0.051,0.398,321280.61
Delhi,1.1,9,low,6,off_peak,3.79,27,0.074,0.105,0.075,0.323,0.074,0.349,72499.33
Chennai,1.05,5,high,6,shoulder,4.61,10,0.73,0.029,0.011,0.007,0.17,0.053,102034.68
Udaipur,1.0,10,low,3,shoulder,3.31,30,0.262,0.306,0.028,0.031,0.11,0.264,36137.72
Amritsar,0.8,10,high,2,off_peak,4.26,20,0.039,0.538,0.07,0.066,0.268,0.019,64098.8
Barcelona,2.5,1,low,4,shoulder,3.77,3,0.127,0.347,0.258,0.08,0.169,0.02,11282.35
London,3.4,1,low,1,off_peak,4.38,3,0.011,0.305,0.244,0.369,0.013,0.057,5023.11
Rome,2.7,6,low,6,off_peak,3.66,12,0.158,0.038,0.084,0.131,0.429,0.159,113763.66
Istanbul,1.8,8,medium,2,shoulder,4.14,24,0.454,0.156,0.012,0.104,0.082,0.192,80015.95
Jaipur,0.8,1,medium,1,shoulder,4.11,2,0.311,0.235,0.149,0.045,0.046,0.213,1569.46
Delhi,1.1,1,medium,5,shoulder,4.37,2,0.103,0.233,0.063,0.55,0.035,0.016,12033.41
Dubai,2.8,8,low,2,shoulder,4.47,16,0.126,0.271,0.084,0.009,0.481,0.029,73173.85
Amsterdam,2.9,8,high,2,off_peak,4.07,24,0.082,0.043,0.038,0.064,0.277,0.496,183343.06
Tokyo,3.0,1,medium,1,off_peak,3.72,2,0.009,0.523,0.167,0.285,0.002,0.014,5462.97
Bangkok,1.6,1,low,3,peak,3.56,3,0.11,0.366,0.08,0.111,0.282,0.051,8541.96
Mumbai,1.4,7,high,5,off_peak,3.32,14,0.04,0.008,0.296,0.147,0.481,0.028,215152.39
Dubai,2.8,9,low,2,peak,4.74,18,0.046,0.254,0.017,0.12,0.203,0.361,150431.9
Amritsar,0.8,2,high,6,off_peak,4.8,4,0.236,0.221,0.131,0.229,0.038,0.145,33566.32
Amritsar,0.8,4,low,5,off_peak,3.47,8,0.411,0.022,0.006,0.184,0.284,0.093,18540.33
Chennai,1.05,1,low,2,shoulder,3.28,3,0.041,0.051,0.457,0.23,0.218,0.002,2630.83
Varanasi,0.7,10,low,3,peak,4.2,20,0.152,0.054,0.263,0.243,0.195,0.094,38427.91
Bangkok,1.6,3,low,4,shoulder,4.95,9,0.211,0.38,0.141,0.028,0.057,0.182,23050.59
Tokyo,3.0,10,low,1,shoulder,3.37,20,0.076,0.585,0.007,0.103,0.113,0.115,37328.7
Rome,2.7,8,medium,3,shoulder,4.92,16,0.156,0.056,0.245,0.169,0.217,0.156,154338.45
Tokyo,3.0,6,low,3,off_peak,4.25,12,0.241,0.06,0.025,0.335,0.203,0.135,69075.48
Singapore,2.9,2,low,6,shoulder,4.42,6,0.008,0.153,0.046,0.439,0.206,0.148,48997.12
Kochi,0.95,4,medium,6,shoulder,4.14,12,0.267,0.026,0.057,0.054,0.106,0.49,59929.63
Istanbul,1.8,3,low,2,shoulder,3.89,6,0.27,0.174,0.045,0.23,0.177,0.105,17741.11
Istanbul,1.8,10,high,4,off_peak,3.58,30,0.168,0.193,0.005,0.294,0.311,0.028,246775.92
Tokyo,3.0,1,high,4,off_peak,4.36,3,0.19,0.086,0.041,0.081,0.024,0.578,57477.96
Jaipur,0.8,3,medium,6,peak,4.21,6,0.039,0.079,0.449,0.014,0.023,0.395,39182.43
Chennai,1.05,7,medium,4,peak,4.92,21,0.182,0.475,0.207,0.002,0.084,0.051,78342.65
Pune,1.0,4,low,1,off_peak,4.95,12,0.139,0.035,0.244,0.103,0.2,0.279,4678.84
Bengaluru,1.2,3,medium,6,peak,4.03,6,0.005,0.246,0.307,0.113,0.246,0.084,51782.37
Agra,0.75,1,low,3,shoulder,3.23,3,0.104,0.295,0.135,0.222,0.125,0.119,3410.73
Amsterdam,2.9,2,high,3,shoulder,3.34,4,0.219,0.009,0.368,0.146,0.051,0.206,65152.98
Tokyo,3.0,8,high,5,peak,3.73,24,0.586,0.048,0.047,0.156,0.15,0.013,465893.85
Pune,1.0,5,medium,3,peak,4.31,10,0.064,0.138,0.098,0.221,0.339,0.14,56987.06
Mumbai,1.4,3,medium,2,shoulder,4.68,6,0.072,0.09,0.602,0.053,0.097,0.087,16565.01
Dubai,2.8,6,low,1,peak,3.35,12,0.108,0.336,0.302,0.053,0.071,0.13,27759.38
Rishikesh,0.75,9,low,5,shoulder,4.23,27,0.133,0.06,0.265,0.366,0.125,0.051,37813.25
Delhi,1.1,10,medium,2,shoulder,4.02,30,0.373,0.056,0.294,0.06,0.093,0.124,43761.32
Barcelona,2.5,4,low,2,shoulder,4.81,8,0.029,0.189,0.277,0.043,0.228,0.233,26347.62
Kochi,0.95,6,medium,1,shoulder,4.54,12,0.352,0.324,0.105,0.072,0.101,0.047,13934.0
Hyderabad,1.05,3,medium,2,off_peak,4.91,6,0.118,0.21,0.247,0.211,0.077,0.138,13370.78
Amsterdam,2.9,4,high,6,off_peak,3.9,12,0.112,0.168,0.151,0.327,0.124,0.119,235925.18
Bali,1.5,10,low,2,peak,4.75,20,0.022,0.096,0.525,0.127,0.113,0.118,44675.39
New York,3.6,5,low,2,shoulder,3.45,15,0.472,0.384,0.0,0.077,0.037,0.029,35615.74
Paris,3.2,5,low,1,shoulder,4.24,15,0.014,0.245,0.018,0.325,0.178,0.22,23841.73
Singapore,2.9,2,medium,6,peak,4.5,4,0.195,0.006,0.187,0.288,0.249,0.075,105888.57
Chennai,1.05,6,medium,5,peak,3.77,18,0.01,0.147,0.496,0.183,0.103,0.061,66965.74
Udaipur,1.0,1,medium,4,shoulder,4.13,2,0.05,0.088,0.016,0.232,0.399,0.216,9481.97
Singapore,2.9,7,medium,5,shoulder,3.89,21,0.067,0.059,0.442,0.179,0.221,0.031,164616.28
Singapore,2.9,8,high,1,peak,4.27,16,0.074,0.281,0.061,0.366,0.105,0.112,138041.86
Varanasi,0.7,9,medium,3,peak,4.21,18,0.054,0.206,0.308,0.333,0.008,0.09,56193.96
Rome,2.7,10,high,6,off_peak,3.6,30,0.246,0.39,0.024,0.173,0.1,0.067,484769.2
Bengaluru,1.2,7,medium,3,off_peak,3.28,14,0.482,0.167,0.31,0.013,0.019,0.008,33139.17
Paris,3.2,1,medium,5,off_peak,3.98,2,0.145,0.054,0.287,0.181,0.261,0.072,31559.03
Istanbul,1.8,5,medium,2,peak,3.95,10,0.003,0.187,0.113,0.6,0.004,0.092,45260.42
Jaipur,0.8,1,low,6,peak,3.69,2,0.209,0.284,0.0,0.261,0.027,0.219,8349.31
Agra,0.75,6,low,3,shoulder,3.39,12,0.002,0.232,0.145,0.183,0.399,0.039,21355.21
Amritsar,0.8,3,medium,4,off_peak,4.88,6,0.06,0.058,0.407,0.002,0.417,0.056,17603.97
Rome,2.7,2,medium,1,off_peak,3.48,6,0.019,0.202,0.02,0.336,0.392,0.032,12250.83
Paris,3.2,1,medium,2,off_peak,3.86,3,0.206,0.171,0.005,0.386,0.177,0.055,11081.22
Bangkok,1.6,4,low,6,peak,4.98,8,0.101,0.604,0.051,0.162,0.013,0.068,62255.12
Jaipur,0.8,10,high,6,shoulder,3.47,20,0.446,0.286,0.05,0.105,0.002,0.111,125955.88
Udaipur,1.0,8,high,6,off_peak,3.66,16,0.116,0.083,0.356,0.121,0.087,0.237,136911.67
Manali,0.9,2,high,6,shoulder,4.38,6,0.22,0.214,0.182,0.231,0.124,0.029,43169.41
Varanasi,0.7,1,low,3,off_peak,3.49,2,0.121,0.56,0.157,0.05,0.037,0.074,1608.78
Tokyo,3.0,7,low,6,peak,4.69,21,0.174,0.086,0.152,0.022,0.259,0.307,298653.81
Bengaluru,1.2,1,medium,2,shoulder,4.57,2,0.068,0.022,0.346,0.535,0.012,0.016,5336.76
Bengaluru,1.2,8,medium,1,off_peak,3.45,24,0.097,0.357,0.175,0.184,0.168,0.018,17071.92
Hyderabad,1.05,3,high,1,shoulder,3.21,9,0.011,0.273,0.165,0.158,0.252,0.141,12066.31
Kochi,0.95,7,high,5,shoulder,3.38,14,0.208,0.319,0.208,0.069,0.16,0.036,116747.81
Pune,1.0,3,medium,5,peak,4.79,6,0.197,0.148,0.165,0.073,0.394,0.023,43113.73
